"title","release_date","rating","director","writer","genres","runtime","original_language","budget","revenue"
"Büyücüler Kulübü","03/05/1996 (US)","68","Andrew Fleming","","Korku,Dram,Fantastik","1h 41m","İngilizce","$15,000,000.00","$24,800,000.00"
"Büyücüler Kulübü: Miras","28/10/2020 (US)","61","Zoe Lister-Jones","Zoe Lister-Jones","Korku,Dram,Fantastik","1h 34m","İngilizce","$18,000,000.00","$2,300,000.00"
"Büyük","03/06/1988 (US)","72","Penny Marshall","","Fantastik,Dram,Komedi,Romantik,Aile","1h 44m","İngilizce","$18,000,000.00","$151,927,281.00"
"Büyük Baba","20/08/2009 (US)","66","Bobcat Goldthwait","","Komedi,Romantik,Dram","1h 39m","İngilizce","$10,000,000.00","$295,750.00"
"Büyük Balık","25/12/2003 (US)","78","Tim Burton","","Macera,Fantastik,Dram","2h 5m","İngilizce","$70,000,000.00","$123,200,000.00"
"Büyük Budapeşte Oteli","18/04/2014 (TR)","80","Wes Anderson","","Komedi,Dram","1h 40m","İngilizce","$30,000,000.00","$174,600,318.00"
"Büyük Diktatör","15/10/1940 (TR)","83","Charlie Chaplin","Charlie Chaplin","Komedi,Savaş","2h 5m","İngilizce","$2,000,000.00","$11,000,000.00"
"Büyük Dövüş","09/09/2011 (US)","78","Gavin O'Connor","","Dram,Aksiyon","2h 20m","İngilizce","$25,000,000.00","$23,300,000.00"
"Büyük Felaket: Asit Yağmuru","22/09/2023 (TR)","57","Just Philippot","","Dram,Fantastik","1h 39m","Fransızca","-","-"
"Büyük Gözler","04/02/2015 (TR)","70","Tim Burton","Scott Alexander","Dram","1h 46m","İngilizce","$10,000,000.00","$28,900,000.00"
"Büyük Hata","26/03/2010 (CA)","61","Atom Egoyan","","Dram,Gerilim,Gizem","1h 36m","İngilizce","$14,000,000.00","$13,657,649.00"
"Büyük Hayaller","29/05/2020 (US)","70","Nisha Ganatra","Flora Greeson","Romantik,Komedi,Müzik,Dram","1h 53m","İngilizce","-","-"
"Büyük Hazine 2","13/12/2007 (US)","64","Jon Turteltaub","","Aksiyon,Macera,Gizem,Gerilim","2h 4m","İngilizce","$130,000,000.00","$459,200,000.00"
"Büyük Hesaplaşma","01/03/1996 (TR)","79","Michael Mann","Michael Mann","Aksiyon,Suç,Dram","2h 50m","İngilizce","$60,000,000.00","$187,400,000.00"
"Büyük İkramiye","16/11/2022 (TH)","68","Prueksa Amaruji","","Suç,Komedi","1h 46m","Taylandça","-","-"
"Büyük İskender","26/11/2004 (TR)","59","Oliver Stone","","Savaş,Tarih,Aksiyon,Macera,Dram,Romantik","2h 55m","İngilizce","$155,000,000.00","$167,298,192.00"
